row_num,longitude,latitude,temp
34700,-83.7125,30.2375,19.65
34800,-82.4625,30.55416667,19.6542
34900,-84.1375,30.25416667,19.6542
35000,-85.27916667,30.10416667,19.6542
35100,-84.22916667,30.27083333,19.6583
35200,-84.5875,30.12916667,19.6583
35300,-84.2125,30.32916667,19.6625
35400,-84.4875,30.14583333,19.6625
35500,-84.37916667,30.4125,19.6667
35600,-83.5875,30.22083333,19.6667
35700,-87.32916667,30.42916667,19.6708
35800,-85.0875,30.17916667,19.6708
35900,-82.5125,30.47916667,19.675
36000,-83.8875,30.20416667,19.675
36100,-82.47083333,30.5375,19.6792
36200,-84.24583333,30.22916667,19.6792
36300,-82.37916667,30.5625,19.6833
36400,-84.37916667,30.27916667,19.6833
36500,-85.25416667,30.09583333,19.6833
36600,-87.39583333,30.37083333,19.6875
36700,-85.39583333,30.10416667,19.6875
36800,-82.5125,30.37916667,19.6917
36900,-83.3625,30.15416667,19.6917
37000,-82.59583333,30.42083333,19.6958
37100,-83.7625,30.17083333,19.6958
37200,-83.3625,30.49583333,19.7
37300,-84.2125,30.2125,19.7
37400,-85.20416667,30.04583333,19.7
37500,-84.20416667,30.25416667,19.7042
37600,-84.6125,30.10416667,19.7042
37700,-84.2625,30.34583333,19.7083
37800,-84.27916667,30.15416667,19.7083
37900,-83.00416667,30.50416667,19.7125
38000,-84.05416667,30.1875,19.7125
38100,-83.3875,30.52916667,19.7167
38200,-84.07083333,30.20416667,19.7167
38300,-84.52083333,30.07916667,19.7167
38400,-84.3625,30.2375,19.7208
38500,-84.5625,30.07083333,19.7208
38600,-84.30416667,30.3375,19.725
38700,-84.95416667,30.05416667,19.725
38800,-84.25416667,30.17916667,19.7292
38900,-82.42916667,30.47916667,19.7333
39000,-84.27083333,30.1625,19.7333
39100,-82.30416667,30.55416667,19.7375
39200,-84.07083333,30.19583333,19.7375
39300,-83.0125,30.52083333,19.7417
39400,-82.5625,30.2875,19.7417
39500,-84.84583333,30.04583333,19.7417
39600,-84.3375,30.37083333,19.7458
39700,-85.49583333,30.1125,19.7458
39800,-82.37083333,30.4875,19.75
39900,-82.3625,30.27916667,19.75
40000,-84.97916667,30.05416667,19.75
40100,-83.1875,30.42916667,19.7542
40200,-83.85416667,30.17916667,19.7542
40300,-84.77916667,29.9875,19.7542
40400,-83.35416667,30.37916667,19.7583
40500,-83.65416667,30.15416667,19.7583
40600,-85.20416667,29.9625,19.7583
40700,-82.32916667,30.3125,19.7625
40800,-84.52916667,30.02916667,19.7625
40900,-82.6625,30.35416667,19.7667
41000,-85.19583333,30.1375,19.7667
41100,-82.37083333,30.47083333,19.7708
41200,-83.8875,30.1625,19.7708
41300,-85.14583333,29.97916667,19.7708
41400,-82.60416667,30.34583333,19.775
41500,-85.0625,30.0375,19.775
41600,-83.34583333,30.42916667,19.7792
41700,-85.17916667,30.14583333,19.7792
41800,-81.92916667,30.79583333,19.7833
41900,-82.62916667,30.32083333,19.7833
42000,-83.3875,30.07083333,19.7833
42100,-82.9125,30.40416667,19.7875
42200,-83.84583333,30.12083333,19.7875
42300,-87.24583333,30.52083333,19.7917
42400,-82.4875,30.22916667,19.7917
42500,-83.34583333,30.02083333,19.7917
42600,-82.62083333,30.34583333,19.7958
42700,-84.87083333,30.02083333,19.7958
42800,-84.27916667,30.37916667,19.8
42900,-83.77083333,30.09583333,19.8
43000,-87.2625,30.49583333,19.8042
43100,-82.5375,30.19583333,19.8042
43200,-81.9375,30.80416667,19.8083
43300,-82.2625,30.32083333,19.8083
43400,-84.67916667,30.02083333,19.8083
43500,-84.35416667,30.40416667,19.8125
43600,-83.42916667,30.07083333,19.8125
43700,-82.00416667,30.6875,19.8167
43800,-85.65416667,30.2375,19.8167
43900,-84.5125,29.99583333,19.8167
44000,-82.35416667,30.37083333,19.8208
44100,-85.10416667,30.0125,19.8208
44200,-82.3125,30.4125,19.825
44300,-83.37916667,30.0125,19.825
44400,-87.27916667,30.3875,19.8292
44500,-85.07916667,30.0125,19.8292
44600,-82.70416667,30.40416667,19.8333
44700,-83.4375,30.05416667,19.8333
44800,-82.27916667,30.4375,19.8375
44900,-84.44583333,30.04583333,19.8375
45000,-81.95416667,30.62083333,19.8417
45100,-84.4125,30.05416667,19.8417
45200,-82.0125,30.7125,19.8458
45300,-82.54583333,30.14583333,19.8458
45400,-81.82083333,30.7125,19.85
45500,-83.97083333,30.12916667,19.85
45600,-81.80416667,30.70416667,19.8542
45700,-82.42083333,30.17916667,19.8542
45800,-84.77083333,29.87083333,19.8542
45900,-83.62916667,30.1625,19.8583
46000,-84.7875,29.87083333,19.8583
46100,-83.2875,30.19583333,19.8625
46200,-81.7875,30.7125,19.8667
46300,-84.07916667,30.12083333,19.8667
46400,-84.85416667,29.87083333,19.8667
46500,-82.25416667,30.2875,19.8708
46600,-84.4625,29.9375,19.8708
46700,-83.30416667,30.3625,19.875
46800,-84.7125,29.94583333,19.875
46900,-82.97083333,30.35416667,19.8792
47000,-84.7125,29.92083333,19.8792
47100,-83.22916667,30.35416667,19.8833
47200,-84.55416667,29.94583333,19.8833
47300,-82.74583333,30.32083333,19.8875
47400,-84.7625,29.87916667,19.8875
47500,-82.7875,30.27916667,19.8917
47600,-84.4625,29.94583333,19.8917
47700,-83.00416667,30.39583333,19.8958
47800,-84.55416667,29.9375,19.8958
47900,-82.99583333,30.39583333,19.9
48000,-83.42916667,29.95416667,19.9
48100,-84.32916667,30.45416667,19.9042
48200,-84.4625,30.00416667,19.9042
48300,-82.8375,30.47083333,19.9083
48400,-83.84583333,30.0625,19.9083
48500,-83.12916667,30.52083333,19.9125
48600,-82.47916667,30.12083333,19.9125
48700,-81.85416667,30.64583333,19.9167
48800,-82.3375,30.12083333,19.9167
48900,-81.67916667,30.6375,19.9208
49000,-82.20416667,30.12083333,19.9208
49100,-81.6375,30.6625,19.925
49200,-82.17083333,30.19583333,19.925
49300,-83.32916667,29.92916667,19.925
49400,-82.80416667,30.30416667,19.9292
49500,-83.32083333,29.9375,19.9292
49600,-82.82083333,30.29583333,19.9333
49700,-83.42083333,29.92916667,19.9333
49800,-86.39583333,30.3875,19.9375
49900,-84.44583333,30.00416667,19.9375
50000,-82.0375,30.4375,19.9417
50100,-82.44583333,30.07916667,19.9417
50200,-81.97916667,30.40416667,19.9458
50300,-83.79583333,30.02083333,19.9458
50400,-81.95416667,30.40416667,19.95
50500,-83.47083333,29.94583333,19.95
50600,-83.27083333,30.3375,19.9542
50700,-83.32916667,29.8875,19.9542
50800,-82.14583333,30.1375,19.9583
50900,-85.02083333,29.87916667,19.9583
51000,-82.2375,30.2125,19.9625
51100,-85.22916667,29.8375,19.9625
51200,-82.2375,30.19583333,19.9667
51300,-81.62083333,30.64583333,19.9708
51400,-84.1375,30.12083333,19.9708
51500,-81.69583333,30.5875,19.975
51600,-83.80416667,30.02083333,19.975
51700,-86.44583333,30.39583333,19.9792
51800,-83.22083333,29.9375,19.9792
51900,-81.9625,30.35416667,19.9833
52000,-83.3125,29.90416667,19.9833
52100,-82.85416667,30.1875,19.9875
52200,-81.8875,30.47083333,19.9917
52300,-83.72083333,30.00416667,19.9917
52400,-81.95416667,30.32916667,19.9958
52500,-83.30416667,29.8625,19.9958
52600,-82.2125,30.09583333,20
52700,-83.04583333,30.3875,20.0042
52800,-85.02916667,29.82916667,20.0042
